	theoretical	methodological	cross	rao_stirling_theoretical	rao_stirling_methodological	rao_stirling_cross	publication_year
26	['G3', 'L2', 'R3', 'M2', 'K2', 'G2']	['C1']	[('C1', 'G3'), ('C1', 'L2'), ('C1', 'R3'), ('C1', 'M2'), ('C1', 'K2'), ('C1', 'G2')]	0.2825697960797697	0.0	0.0106828333227895	2009
27	['N23', 'G15', 'F33', 'E44', 'E42', 'F31']	['C33']	[('C33', 'N23'), ('C33', 'G15'), ('C33', 'F33'), ('C33', 'E44'), ('C33', 'E42'), ('C33', 'F31')]	0.4556456788559444	0.0	-0.0191464148374507	2009
28	['Q24', 'R32', 'O18', 'R31']	['C19', 'C21', 'C38']	[('C19', 'Q24'), ('C19', 'R32'), ('C19', 'O18'), ('C19', 'R31'), ('C21', 'Q24'), ('C21', 'R32'), ('C21', 'O18'), ('C21', 'R31'), ('C38', 'Q24'), ('C38', 'R32'), ('C38', 'O18'), ('C38', 'R31')]	0.4283540912438184	0.4536434402689338	-0.4306610322091729	2009
29	['E43', 'G13', 'E44', 'G12']	['C61', 'C02', 'C63']	[('C61', 'E43'), ('C61', 'G13'), ('C61', 'E44'), ('C61', 'G12'), ('C02', 'E43'), ('C02', 'G13'), ('C02', 'E44'), ('C02', 'G12'), ('C63', 'E43'), ('C63', 'G13'), ('C63', 'E44'), ('C63', 'G12')]	0.3619985342957079	0.3602017126977443	-0.4515712311840615	2009
30	['G32', 'G13', 'G12']	['C22', 'C53', 'C15', 'C51']	[('C22', 'G32'), ('C22', 'G13'), ('C22', 'G12'), ('C53', 'G32'), ('C53', 'G13'), ('C53', 'G12'), ('C15', 'G32'), ('C15', 'G13'), ('C15', 'G12'), ('C51', 'G32'), ('C51', 'G13'), ('C51', 'G12')]	0.4778197044506669	0.2757396232336759	-0.5520399795786943	2009
31	['Z1', 'Y9', 'I1', 'B5', 'A1']	['Y8', 'Y1']	[('Y8', 'Z1'), ('Y8', 'Y9'), ('Y8', 'I1'), ('Y8', 'B5'), ('Y8', 'A1'), ('Y1', 'Z1'), ('Y1', 'Y9'), ('Y1', 'I1'), ('Y1', 'B5'), ('Y1', 'A1')]	0.3623669998487457	0.5	-0.5992500586580718	2009
32	['D12', 'G21', 'D14', 'R21', 'D11']	['C02', 'C10']	[('C02', 'D12'), ('C02', 'G21'), ('C02', 'D14'), ('C02', 'R21'), ('C02', 'D11'), ('C10', 'D12'), ('C10', 'G21'), ('C10', 'D14'), ('C10', 'R21'), ('C10', 'D11')]	0.4223304148763418	0.5	-0.4133590096025727	2009
33	['H23', 'L51', 'P16', 'Q52', 'Q58', 'D72']	['C72']	[('C72', 'H23'), ('C72', 'L51'), ('C72', 'P16'), ('C72', 'Q52'), ('C72', 'Q58'), ('C72', 'D72')]	0.5937243853695691	0.0	-0.0709254369139671	2009
34	['D4', 'D6', 'L11', 'L1', 'D46']	['C7', 'C02']	[('C7', 'D4'), ('C7', 'D6'), ('C7', 'L11'), ('C7', 'L1'), ('C7', 'D46'), ('C02', 'D4'), ('C02', 'D6'), ('C02', 'L11'), ('C02', 'L1'), ('C02', 'D46')]	0.4320442772441311	0.5	-0.4490001682606817	2009
35	['H23', 'H41', 'D62', 'Q50', 'Q52', 'Q58']	['C61']	[('C61', 'H23'), ('C61', 'H41'), ('C61', 'D62'), ('C61', 'Q50'), ('C61', 'Q52'), ('C61', 'Q58')]	0.3605690926779061	0.0	-0.0701349689625203	2009
